2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity
8.47452792	66.99519781790028	8.47452792	101.1469850238779	8.47452792	14.4849292848873	8.47452792	70.98413749280053	8.47452792	105.29273619497792	8.47452792	14.277787742835017	8.47452792	42.5490669361844
8.51799368	67.66244872834744	8.51799368	85.9858044346808	8.51799368	1.2473787848251163	8.51799368	59.344647736850675	8.51799368	58.23015384326084	8.51799368	25.041342119323986	8.51799368	31.149084768840368
8.56145944	72.3309088400014	8.56145944	89.78474111645909	8.56145944	6.012416143820417	8.56145944	89.67491942232846	8.56145944	112.14272355867126	8.56145944	52.80433902612435	8.56145944	45.75116915401841
8.6049252	63.000576692550624	8.6049252	30.544651193699508	8.6049252	10.780113190057307	8.6049252	43.97605445514455	8.6049252	78.03096287110804	8.6049252	19.56687555965732	8.6049252	19.355386551381656
8.64839096	62.67145082568365	8.64839096	61.266438403369364	8.64839096	25.550545751035486	8.64839096	61.24918400452316	8.64839096	52.89542785923243	8.64839096	42.32905193090588	8.64839096	43.96180922434817
8.69185672	70.3435297790889	8.69185672	83.95105038859555	8.69185672	29.32379324375637	8.69185672	64.4954652585684	8.69185672	69.73671010759847	8.69185672	88.0909712761989	8.69185672	36.57051482444129
8.73532248	73.01681209245498	8.73532248	77.5994751238847	8.73532248	25.099938280229765	8.73532248	50.71607830616267	8.73532248	43.555433776614905	8.73532248	44.852739471164654	8.73532248	11.181585987995874
8.77878824	83.6912963054703	8.77878824	106.21273746879314	8.77878824	35.879066287940475	8.77878824	40.91222314202514	8.77878824	67.35225278255496	8.77878824	11.61446494785315	8.77878824	12.79510994498915
8.822254	67.36698095782339	8.822254	59.791895847032436	8.822254	31.66126514492163	8.822254	58.08511679190087	8.822254	71.12784808493473	8.822254	71.37625851502548	8.822254	33.411178139774194
8.86571976	70.04386458920271	8.86571976	56.338039047983955	8.86571976	20.44662482908592	8.86571976	84.23599055489012	8.86571976	61.88292507855988	8.86571976	3.13823318160766	8.86571976	44.02988586349241
8.90918552	90.72194573929679	8.90918552	68.85228314772638	8.90918552	11.23523708147394	8.90918552	83.36608735992831	8.90918552	76.61821108767037	8.90918552	59.9005039833057	8.90918552	19.651331897945425
